Year,Subject,Topic,Type,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Theory_Answer
2025,Computing,Spreadsheet,Objective,Which of the following functions is used to sum a range of cells based on multiple criteria?,SUM,SUMIF,TOTAL,SUMIFS,D,
2023,Computing,Programming,Objective,Which data type is typically used to store a single character in programming languages like C or Java?,int,float,char,string,C,
2023,Computing,Spreadsheet,Objective,In a spreadsheet application columns are traditionally identified by which of the following?,Numbers,Letters,Symbols,Roman Numerals,B,
2023,Computing,Word Processing,Objective,Which keyboard shortcut is globally used to copy selected text to the clipboard?,Ctrl + C,Ctrl + V,Ctrl + X,Ctrl + Z,A,
2026,Computing,Programming,Objective,What is the primary purpose of a compiler in the software development lifecycle?,Execute code line by line,Debug syntax errors directly,Design user interfaces,Translate source code into machine language,D,
2025,Computing,Word Processing,Objective,Which feature in word processing allows a user to apply the exact formatting of one text segment to another?,Mail Merge,Track Changes,Macro,Format Painter,D,
2026,Computing,Hardware,Objective,Which type of internal computer memory is volatile and loses its contents when power is turned off?,ROM,Flash Memory,RAM,Hard Drive,C,
2025,Computing,Software,Objective,What category of software is designed to manage and control the underlying computer hardware components?,Application Software,Operating System,Utility Programs,Shareware,B,
2023,Computing,Spreadsheet,Objective,Every standard mathematical formula or function in an Excel spreadsheet must begin with which character?,#,$,@,=,D,
2024,Computing,Security,Objective,Which security mechanism is used to encrypt network traffic and establish a secure connection over the internet?,Firewall,Antivirus,Biometrics,VPN,D,
2025,Computing,Database,Objective,Which database field uniquely identifies each record or row within a specific relational table?,Primary Key,Foreign Key,Unique Index,Composite Column,A,
2025,Computing,Spreadsheet,Objective,Which type of chart is best suited for showing the relative proportions or percentages of a standard total?,Line Chart,Bar Chart,Scatter Plot,Pie Chart,D,
2022,Computing,Database,Objective,What language is universally used to query manage and manipulate data within relational databases?,HTML,SQL,C++,Python,B,
2022,Computing,Internet,Objective,What does the acronym HTTP stand for in the context of web address protocols?,HyperText Transfer Port,HyperText Transfer Program,HyperText Transfer Protocol,HyperText Transmission Protocol,C,
2022,Computing,Programming,Objective,Which programming structure is used to repeat a specific block of code as long as a condition remains true?,Condition,Variable,Function,Loop,D,
2024,Computing,Networking,Objective,Which network device is responsible for forwarding data packets between different computer networks?,Switch,Hub,Router,Modem,C,
2022,Computing,Software,Objective,Which of the following is an open-source operating system widely used for servers and computers?,Windows,macOS,iOS,Linux,D,
2024,Computing,Security,Objective,What type of malicious software replicates itself and spreads to other files and systems without user intent?,Spyware,Trojan Horse,Adware,Virus,D,
2024,Computing,Presentation,Objective,What is the name of the individual layout pages used to structure content within presentation software?,Document,Spreadsheet,Slide,Canvas,C,
2026,Computing,Programming,Objective,Which symbol is commonly used in many programming languages to denote a single-line text comment?,#,//,/*,;,B,
2022,Computing,Spreadsheet,Objective,Which function would you use to find the highest value in a specified range of spreadsheet cells?,MIN,AVERAGE,MAX,COUNT,C,
2023,Computing,Security,Objective,What type of cyberattack involves tricking users into revealing sensitive data via deceptive emails?,Ransomware,Malware,DDoS,Phishing,D,
2022,Computing,Networking,Objective,What does the acronym LAN stand for in standard computer networking terminology?,Local Access Network,Logical Area Network,Local Area Network,Large Area Network,C,
2024,Computing,Word Processing,Objective,Which text alignment option distributes text evenly between both the left and right document margins?,Align Left,Align Right,Justify,Center,C,
2023,Computing,Security,Objective,Which security tool acts as a barrier to monitor and filter incoming and outgoing network traffic?,Antivirus,Encryption,Spyware,Firewall,D,
2023,Computing,Networking,Objective,What is the unique numerical label assigned to each device connected to a computer network called?,MAC Address,URL,IP Address,DNS Record,C,
2022,Computing,Security,Objective,Which of the following is considered a strong practice for creating a highly secure password?,Using your birth year,Using sequence 12345,Mixing uppercase lowercase numbers and symbols,Using your pet name,C,
2025,Computing,Database,Objective,What is the name of the database operation used to combine data from two or more tables based on a related column?,Join,Merge,Union,Combine,A,
2026,Computing,Networking,Objective,Which protocol is responsible for resolving human-readable domain names into numerical IP addresses?,FTP,HTTP,DNS,DHCP,C,
2023,Computing,Security,Objective,What type of software is designed to detect prevent and remove malicious software from a computer?,Firewall,Firmware,Adware,Antivirus,D,
2023,Computing,Word Processing,Objective,Which orientation layouts a document page horizontally so it is wider than it is tall?,Portrait,Landscape,Square,Vertical,B,
2022,Computing,Software,Objective,Which of the following is a prominent example of web browser software application?,Microsoft Word,Adobe Photoshop,Google Chrome,MySQL,C,
2026,Computing,Hardware,Objective,Which computer hardware component acts as the main printed circuit board connecting all internal parts?,Processor,Hard Drive,Power Supply,Motherboard,D,
2022,Computing,Presentation,Objective,Which feature controls the visual movement effect when moving from one slide to another during a show?,Animation,Transition,Duration,Trimming,B,
2026,Computing,Presentation,Objective,Which layout view displays all slides as small miniatures to easily reorder them within a deck?,Normal View,Outline View,Slide Sorter View,Reading View,C,
2025,Computing,Presentation,Objective,What is the shortcut key configuration used to launch a presentation slide show from the very beginning?,F1,F3,F7,F5,D,
2024,Computing,Internet,Objective,Which software application allows users to access view and navigate web pages on the internet?,Search Engine,Web Browser,Web Server,Router,B,
2026,Computing,Presentation,Objective,What feature allows you to save custom reusable slide styles layouts and formatting across presentations?,Template,Macro,Clipart,Hyperlink,A,
2025,Computing,Presentation,Objective,Which visual effect can be applied to animate individual elements like bullet points or images on a single slide?,Animation,Transition,Layout,Design,A,
2023,Computing,Spreadsheet,Objective,What is the intersection of a vertical column and a horizontal row in a spreadsheet called?,Grid,Block,Cell,Label,C,
2022,Computing,Software,Objective,Which of the following is classified as utility software rather than application software?,Word Processor,Web Browser,Media Player,Disk Defragmenter,D,
2026,Computing,Security,Objective,What type of security software logs keystrokes to steal sensitive credentials and passwords?,Virus,Keylogger,Ransomware,Adware,B,
2025,Computing,Internet,Objective,What does URL stand for in internet technology frameworks?,Universal Resource Link,Uniform Resource Locator,Unified Router Location,User Registry Locator,B,
2022,Computing,Software,Objective,Which file extension is universally used to denote a standard executable file on Windows operating systems?,.txt,.exe,.docx,.mp3,B,
2023,Computing,Spreadsheet,Objective,Which symbol is used in formulas to represent the mathematical operation of multiplication?,+,–,*,/,C,
2025,Computing,Hardware,Objective,Which hardware device takes internal digital data and converts it into a permanent physical paper copy?,Scanner,Monitor,Printer,Projector,C,
2023,Computing,Software,Objective,Which software development methodology focuses on iterative development and cross-functional team collaboration?,Agile,Waterfall,V-Model,Spiral,A,
2023,Computing,Security,Objective,Which type of attack floods a targeted system or network resource with traffic to make it unavailable?,Phishing,SQL Injection,DDoS,Malware,C,
2023,Computing,Database,Objective,Which term describes a single collection of related data fields representing a row in a database table?,Attribute,Field,Record,Query,C,
2023,Computing,Word Processing,Objective,Which word processing feature creates a decorative oversized first letter at the start of a paragraph?,WordArt,Drop Cap,Text Box,Font Style,B,
2026,Computing,Networking,Objective,Which networking device operates at the physical layer to regenerate signals but does not manage traffic route?,Switch,Router,Hub,Bridge,C,
2026,Computing,Networking,Objective,What topology connects all network nodes directly to a single central hub or switch device?,Star Topology,Bus Topology,Ring Topology,Mesh Topology,A,
2026,Computing,Programming,Objective,Which data structure functions on a Last In First Out (LIFO) operational principle?,Queue,Tree,Stack,Graph,C,
2023,Computing,Presentation,Objective,Which view in presentation programs lets you add notes to individual slides that remain hidden from viewers?,Slide Master,Slide Show,Notes Page View,Handout View,C,
2026,Computing,Spreadsheet,Objective,What type of cell reference changes automatically when a formula is copied to another cell location?,Absolute Reference,Mixed Reference,Static Reference,Relative Reference,D,
2024,Computing,Presentation,Objective,Which menu or tab in presentation software is used to insert new shapes videos or audio files?,Design,Transitions,Review,Insert,D,
2025,Computing,Word Processing,Objective,What feature creates personalized letters or envelopes by combining a standard document template with a data list?,Track Changes,Macro,Find and Replace,Mail Merge,D,
2026,Computing,Networking,Objective,Which transmission medium uses pulses of light passing through glass strands to transfer data rapidly?,Coaxial Cable,Fiber Optic Cable,Twisted Pair,Infrared,B,
2022,Computing,Word Processing,Objective,Which keyboard combination is used to automatically select all text and elements within a word document?,Ctrl + S,Ctrl + C,Ctrl + V,Ctrl + A,D,
2024,Computing,Networking,Objective,Which device transforms digital computer data into analog signals for transmission over standard phone lines?,Router,Switch,Modem,Hub,C,
2025,Computing,Spreadsheet,Objective,What error code appears in a spreadsheet cell when a formula attempts to divide a number by zero?,#VALUE!,#NAME?,#REF!,#DIV/0!,D,
2025,Computing,Database,Objective,Which database concept ensures data integrity by preventing orphan records between related tables?,Indexing,Referential Integrity,Normalization,Encapsulation,B,
2024,Computing,Internet,Objective,Which search engine feature is used to look up matching pages based on input words?,Browser,Cookie,Keyword,Hyperlink,C,
2026,Computing,Security,Objective,What type of attack involves intercepting and altering communications between two parties without their knowledge?,Phishing,Man-in-the-Middle,DDoS,Ransomware,B,
2024,Computing,Software,Objective,What is the name of the small software update released to fix a specific bug or security vulnerability?,Beta,Patch,Driver,Upgrade,B,
2024,Computing,Database,Objective,Which clause is used in an SQL query to filter records based on a specified condition?,SELECT,FROM,WHERE,GROUP BY,C,
2025,Computing,Word Processing,Objective,Which tool helps you find synonyms or alternative words for a selected word within a document?,Spell Check,Dictionary,Thesaurus,Autocorrect,C,
2026,Computing,Security,Objective,Which protocol provides an encrypted tunnel for transfering files securely across a computer network?,FTP,SFTP,HTTP,SMTP,B,
2025,Computing,Internet,Objective,What type of small data file do websites store on a user device to remember preferences and track sessions?,Cache,Cookie,History,Bookmark,B,
2024,Computing,Presentation,Objective,Which slide acts as the primary template controlling the baseline fonts backgrounds and layouts for a whole show?,Title Slide,Handout Master,Slide Master,Notes Master,C,
2026,Computing,Networking,Objective,What is the name of the physical address hardcoded onto a network interface card during manufacturing?,IP Address,Subnet Mask,Gateway,MAC Address,D,
2025,Computing,Presentation,Objective,Which aspect ratio is the standard modern widescreen format used for high-definition displays?,4:3,1:1,16:9,21:9,C,
2026,Computing,Hardware,Objective,Which internal unit manages the extraction and execution of program instructions within the CPU?,ALU,Control Unit,Registers,Cache,B,
2025,Computing,Networking,Objective,Which wireless standard is used to connect local devices to the internet via radio waves over short distances?,Cellular,Bluetooth,Wi-Fi,Ethernet,C,
2024,Computing,Internet,Objective,Which cloud service model delivers basic hardware infrastructure like virtual servers and storage over the net?,SaaS,PaaS,IaaS,DaaS,C,
2026,Computing,Security,Objective,What type of malware demands monetary payment after encrypting a victim's files and locking them out?,Spyware,Ransomware,Trojan Horse,Adware,B,
2024,Computing,Networking,Objective,What network tier spans across massive geographic areas countries or continents?,LAN,MAN,PAN,WAN,D,
2024,Computing,Security,Objective,Which protocol is used to securely encrypt standard web traffic making online transactions safe?,HTTP,FTP,HTTPS,SMTP,C,
2023,Computing,Security,Objective,What authentication method uses unique biological traits like fingerprints or facial recognition to grant access?,Passwords,Tokens,Biometrics,PINs,C,
2026,Computing,Networking,Objective,Which layer of the standard OSI model handles logical addressing packet routing and path determination?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,C,
2024,Computing,Presentation,Objective,Which format allows you to save a slide deck so it automatically opens directly into presenter show mode?,.pptx,.pdf,.ppsx,.potx,C,
2025,Computing,Software,Objective,What form of system software handles the direct communication and control interface with specific external hardware accessories?,Operating System,Device Driver,Utility Software,Firmware,B,
2026,Computing,Presentation,Objective,Which action inserts an interactive link pointing to a web page file or another slide within a presentation?,Bookmark,Cross-reference,Hyperlink,Macro,C,
2023,Computing,Word Processing,Objective,Which function automatically moves text to the next line when a typed word reaches the right-side boundary page?,Word Wrap,AutoCorrect,Line Break,Page break,A,
2023,Computing,Software,Objective,What is the name given to software that is free to download use and modify because its source code is public?,Proprietary Software,Shareware,Open-Source Software,Adware,C,
2022,Computing,Spreadsheet,Objective,Which symbol is placed in a spreadsheet formula cell address to freeze it as an absolute reference?,$,#,*,@,A,
2024,Computing,Software,Objective,What type of computing license requires users to pay ongoing fees to use software over a specified duration?,Freeware,Perpetual License,Subscription License,Public Domain,C,
2023,Computing,Software,Objective,Which systems processing type handles tasks in batches without requiring interactive real-time user input data?,Real-time Processing,Batch Processing,Multiprocessing,Time-sharing,B,
2024,Computing,Presentation,Objective,What is the term for a pre-made collection of shapes icons illustrations and artwork available in office tools?,WordArt,SmartArt,Clipart,Shapes,C,
2023,Computing,Word Processing,Objective,Which tool allows a user to reverse the last change or mistake made in a text document?,Redo,Undo,Cut,Clear,B,
2026,Computing,Internet,Objective,What protocol is universally used to send outgoing email messages across internet server networks?,POP3,IMAP,SMTP,FTP,C,
2024,Computing,Internet,Objective,What architecture network system allows multiple computers to share resources directly without a centralized server node?,Client-Server,Peer-to-Peer,Cloud Architecture,Mainframe Network,B,
2025,Computing,Spreadsheet,Objective,Which error code indicates that a spreadsheet formula cannot find a value or item referenced within its lookup arrays?,#VALUE!,#NAME?,#REF!,#N/A,D,
2022,Computing,Presentation,Objective,Which file format should you choose to export static presentation slides so they can be read on any device without software changes?,.docx,.pdf,.gif,.html,B,
2022,Computing,Spreadsheet,Objective,Which of the following functions calculates the average of a specific numerical cell range within a worksheet?,SUM,COUNT,AVERAGE,MEDIAN,C,
2022,Computing,Database,Objective,What type of relationship exists when one record in table A connects to multiple records in table B?,One-to-One,One-to-Many,Many-to-Many,Self-Referencing,B,
2023,Computing,Word Processing,Objective,What function replaces every instance of a designated word with a new term throughout an entire file?,Find,Track Changes,Autocorrect,Replace,D,
2023,Computing,Networking,Objective,Which networking device broadcasts incoming data packets indiscriminately to every single connected machine or port?,Switch,Router,Gateway,Hub,D,
2023,Computing,Programming,Objective,Which fundamental control structure evaluates a conditional statement to decide between two distinct execution paths?,Loop,Function,Array,If-Else,D,
2026,Computing,Word Processing,Objective,What indicator shows where the next typed letter character or symbol will appear on the document canvas?,Pointer,Cursor,Marker,Selector,B,
2026,Computing,Networking,Objective,Which networking device operates at the physical layer to regenerate signals but does not manage traffic route?,Switch,Router,Hub,Bridge,C,
2026,Computing,Networking,Objective,What topology connects all network nodes directly to a single central hub or switch device?,Star Topology,Bus Topology,Ring Topology,Mesh Topology,A,
2026,Computing,Programming,Objective,Which data structure functions on a Last In First Out (LIFO) operational principle?,Queue,Tree,Stack,Graph,C,
2023,Computing,Presentation,Objective,Which view in presentation programs lets you add notes to individual slides that remain hidden from viewers?,Slide Master,Slide Show,Notes Page View,Handout View,C,
2026,Computing,Spreadsheet,Objective,What type of cell reference changes automatically when a formula is copied to another cell location?,Absolute Reference,Mixed Reference,Static Reference,Relative Reference,D,
2024,Computing,Presentation,Objective,Which menu or tab in presentation software is used to insert new shapes videos or audio files?,Design,Transitions,Review,Insert,D,
2025,Computing,Word Processing,Objective,What feature creates personalized letters or envelopes by combining a standard document template with a data list?,Track Changes,Macro,Find and Replace,Mail Merge,D,
2026,Computing,Networking,Objective,Which transmission medium uses pulses of light passing through glass strands to transfer data rapidly?,Coaxial Cable,Fiber Optic Cable,Twisted Pair,Infrared,B,
2022,Computing,Word Processing,Objective,Which keyboard combination is used to automatically select all text and elements within a word document?,Ctrl + S,Ctrl + C,Ctrl + V,Ctrl + A,D,
2024,Computing,Networking,Objective,Which device transforms digital computer data into analog signals for transmission over standard phone lines?,Router,Switch,Modem,Hub,C,
2025,Computing,Spreadsheet,Objective,What error code appears in a spreadsheet cell when a formula attempts to divide a number by zero?,#VALUE!,#NAME?,#REF!,#DIV/0!,D,
2025,Computing,Database,Objective,Which database concept ensures data integrity by preventing orphan records between related tables?,Indexing,Referential Integrity,Normalization,Encapsulation,B,
